question,answer
Does Mars have Moons?,"Yes, Mars has two small, irregularly shaped moons named Phobos and Deimos. They look like lumpy potatoes."
Does Mars have rings?,"No, Mars does not have rings, but its moon Phobos is getting closer and may break up to form a ring in tens of millions of years."
Does Mars have an atmosphere?,"Yes, but it is very thin—about 1% the pressure of Earth's. It's mostly carbon dioxide."
What is the Gravity on Mars?,The gravity on Mars is about 38% of Earth's. A 100 lb person would feel like they weigh only 38 lbs.
Does Mars have craters?,"Yes, Mars has many craters, especially in its southern highlands. The northern hemisphere is smoother, covered by younger lava plains."
Does Mars have clouds?,"Yes, Mars has thin clouds made of water ice and carbon dioxide ice (dry ice). They are wispy compared to Earth's."
Does Mars have water?,"There is no liquid water on the surface now, but there is ice at the poles and possibly underground. There is lots of evidence it had water in the past."
How old is Mars?,"Mars formed about 4.6 billion years ago, at the same time as the rest of the solar system."
Can you see Mars from Earth?,"Yes, Mars is easily visible as a bright, reddish-orange 'star' in the night sky. It is especially bright during its close approaches to Earth."
What colour is Jupiter?,"Jupiter is famous for its bands of orange, brown, tan, and white clouds, with its iconic Great Red Spot."
How hot is Jupiter?,"The cloud tops are very cold, about -145°C. But deeper inside, temperatures rise to thousands of degrees due to intense pressure."
What does Jupiter look like?,"Jupiter is a giant, striped ball of gas with a famous giant storm called the Great Red Spot. It looks like a swirling marble."
What is the surface of Jupiter like?,"Jupiter is a gas giant and doesn't have a solid surface. If you tried to land, you'd just sink into deeper layers of gas and liquid."
How long would it take to get to Jupiter?,"A spacecraft takes about 5 to 6 years to reach Jupiter. The Juno mission, for example, took about 5 years."
How big is Jupiter?,"Jupiter is the largest planet. It's so big that over 1,300 Earths could fit inside it."
How far from Earth is Jupiter?,"At its closest, Jupiter is about 588 million km (365 million miles) from Earth."
How far from the Sun is Jupiter?,"Jupiter is the fifth planet from the Sun, orbiting at an average distance of about 778 million km (484 million miles)."
How heavy is Jupiter?,Jupiter is incredibly massive. It is more than twice as heavy as all the other planets in the solar system combined.
Does Jupiter have Moons?,"Yes, Jupiter has at least 95 known moons! The four largest (Io, Europa, Ganymede, Callisto) are called the Galilean moons."
Does Jupiter have rings?,"Yes, Jupiter has a faint, dusty ring system. They are not as large or bright as Saturn's rings."
Does Jupiter have an atmosphere?,"Yes, Jupiter has a massive atmosphere made mostly of hydrogen and helium, with colourful cloud bands and powerful storms."
What is the Gravity on Jupiter?,The gravity at its cloud tops is about 2.4 times stronger than Earth's. A 100 lb person would feel like 240 lbs there.
Does Jupiter have craters?,"No, Jupiter has no solid surface for craters to form on. Any impacting object would be swallowed by the dense atmosphere."
Does Jupiter have clouds?,"Yes, Jupiter is nothing but clouds! It has colourful bands of ammonia and water ice clouds that stretch around the entire planet."
Does Jupiter have water?,"There is water vapor in its atmosphere, and scientists believe there may be a vast, hot ocean of liquid water deep inside the planet."
How old is Jupiter?,"Jupiter is about 4.6 billion years old, forming shortly after the Sun."
Can you see Jupiter from Earth?,"Yes, Jupiter is often the second brightest planet in the night sky (after Venus). It looks like a very bright, creamy-white star."
What colour is Saturn?,"Saturn is a pale, buttery yellow with hints of brown in its cloud bands. Its famous rings are greyish-brown."
How hot is Saturn?,"Saturn's cloud tops are very cold, averaging about -178°C (-288°F). Like Jupiter, its interior is extremely hot."
What does Saturn look like?,"Saturn is a pale yellow gas giant famous for its stunning, bright system of icy rings. It's the most recognizable planet."
What is the surface of Saturn like?,"Saturn is a gas giant with no solid surface. It's mostly hydrogen and helium, likely with a small rocky core deep inside."
How long would it take to get to Saturn?,A spacecraft journey to Saturn takes about 6 to 8 years. The Cassini mission took nearly 7 years to get there.
How big is Saturn?,Saturn is the second-largest planet. It's so large and low-density that it would float in water if you had a bathtub big enough!
How far from Earth is Saturn?,"At its closest, Saturn is about 1.2 billion km (746 million miles) from Earth."
How far from the Sun is Saturn?,"Saturn is the sixth planet from the Sun, orbiting at an average distance of about 1.4 billion km (886 million miles)."
How heavy is Saturn?,"Saturn is 95 times more massive than Earth, but it is the least dense of all the planets."
Does Saturn have Moons?,"Yes, Saturn has at least 146 confirmed moons, the most of any planet. Its largest moon, Titan, is bigger than Mercury."
Does Saturn have rings?,"Yes, Saturn has the most spectacular and complex ring system in our solar system, made of billions of ice and rock particles."
Does Saturn have an atmosphere?,"Yes, it has a thick atmosphere of hydrogen and helium. Its upper clouds are made of ammonia ice crystals."
What is the Gravity on Saturn?,The gravity at its cloud tops is similar to Earth's (about 1.07g). Its low density makes the pull surprisingly close to ours.
Does Saturn have craters?,"No, Saturn has no solid surface for craters. Its moons, however, are covered in them."
Does Saturn have clouds?,"Yes, Saturn has cloud bands, though they are fainter than Jupiter's. It also has occasional giant storms."
Does Saturn have water?,There is water ice in its famous rings and in the atmospheres of some of its moons. The moon Enceladus shoots out water geysers.
How old is Saturn?,"Saturn formed about 4.6 billion years ago, around the same time as the Sun and the other planets."
Can you see Saturn from Earth?,"Yes, Saturn is visible to the naked eye as a bright, yellowish 'star'. Through a small telescope, you can see its amazing rings."
What colour is Uranus?,"Uranus has a pale, cyan or blue-green colour, caused by methane gas in its atmosphere absorbing red light."
How hot is Uranus?,"Uranus is the coldest planet, with cloud-top temperatures dropping to a frigid -224°C (-371°F)."
What does Uranus look like?,"Uranus is a featureless, pale blue-green marble. It rotates on its side, so it looks like a rolling ball as it orbits."
What is the surface of Uranus like?,"Uranus is an ice giant with no solid surface. Beneath its atmosphere is a slushy mantle of water, ammonia, and methane ices."
How long would it take to get to Uranus?,"Only one spacecraft, Voyager 2, has visited Uranus. It took about 8.5 years to get there from Earth."
How big is Uranus?,Uranus is the third-largest planet by diameter. It's about four times wider than Earth.
How far from Earth is Uranus?,"At its closest, Uranus is about 2.6 billion km (1.6 billion miles) from Earth."
How far from the Sun is Uranus?,"Uranus is the seventh planet from the Sun, orbiting at an average distance of about 2.9 billion km (1.8 billion miles)."
How heavy is Uranus?,Uranus has a mass about 14.5 times that of Earth. It is much less massive than Jupiter and Saturn.
Does Uranus have Moons?,"Yes, Uranus has at least 28 known moons, all named after characters from Shakespeare and Alexander Pope."
Does Uranus have rings?,"Yes, Uranus has 13 known faint, dark rings. They are made of very dark material, likely radiation-processed organics."
Does Uranus have an atmosphere?,"Yes, its atmosphere is mostly hydrogen and helium, with a significant amount of methane that gives it its blue colour."
What is the Gravity on Uranus?,The gravity at its cloud tops is about 89% of Earth's. A 100 lb person would feel like 89 lbs there.
Does Uranus have craters?,"No, Uranus has no solid surface for craters to form on. Its moons, like Miranda, have dramatic, cratered landscapes."
Does Uranus have clouds?,"Yes, but they are very faint and hard to see. Recent observations have revealed occasional bright cloud features."
Does Uranus have water?,"Deep below its atmosphere, scientists believe there is a vast, super-heated 'ocean' of water and other ices surrounding its core."
How old is Uranus?,Uranus is about 4.6 billion years old.
Can you see Uranus from Earth?,"Yes, but just barely. It's at the edge of naked-eye visibility and appears as a very faint, blue-green star. You need binoculars or a telescope to see it clearly."
What colour is Neptune?,"Neptune is a vivid, deep azure blue, even richer in colour than Uranus due to more active atmospheric chemistry."
How hot is Neptune?,"Despite being far from the Sun, Neptune's cloud tops are about -214°C (-353°F). Surprisingly, it's warmer than Uranus."
What does Neptune look like?,"Neptune is a deep blue planet with dynamic, visible white clouds and occasional giant dark storms, like the Great Dark Spot."
What is the surface of Neptune like?,"Neptune is an ice giant with no solid surface. It has a thick atmosphere over a deep, hot, slushy mantle of water, ammonia, and methane ices."
How long would it take to get to Neptune?,Voyager 2 is the only spacecraft to visit Neptune. Its journey took about 12 years to reach the planet.
How big is Neptune?,Neptune is slightly smaller than Uranus but more massive. It's the fourth-largest planet by diameter.
How far from Earth is Neptune?,"At its closest, Neptune is a staggering 4.3 billion km (2.7 billion miles) from Earth."
How far from the Sun is Neptune?,"Neptune is the eighth and farthest planet from the Sun, orbiting at an average distance of about 4.5 billion km (2.8 billion miles)."
How heavy is Neptune?,Neptune has a mass about 17 times that of Earth.
Does Neptune have Moons?,"Yes, Neptune has at least 16 known moons. Its largest, Triton, is geologically active and orbits backwards."
Does Neptune have rings?,"Yes, Neptune has five main faint, dusty rings. They are dark and hard to see, but they are there."
Does Neptune have an atmosphere?,"Yes, its atmosphere is mostly hydrogen and helium with methane, and it has the strongest winds in the solar system—over 2,000 km/h!"
What is the Gravity on Neptune?,The gravity at its cloud tops is about 1.14 times Earth's. A 100 lb person would feel like 114 lbs there.
Does Neptune have craters?,"No, Neptune has no solid surface for craters. Any impactor would be swallowed by the planet's dense, fluid interior."
Does Neptune have clouds?,"Yes, Neptune has very active and visible cloud features, including high-altitude methane ice clouds that streak across its blue atmosphere."
Does Neptune have water?,"Like Uranus, scientists believe Neptune has a deep, hot, dense 'ocean' of water and other ices surrounding its small, rocky core."
How old is Neptune?,Neptune is about 4.6 billion years old.
Can you see Neptune from Earth?,"No, you cannot see Neptune with the naked eye. You need a powerful telescope to see it as a tiny blue disc."
What is Mercury?,Mercury is the smallest planet in our Solar System and the closest planet to the Sun.
How far is Mercury from the Sun?,Mercury is about 58 million kilometers (36 million miles) from the Sun on average – much closer than Earth!
Why is Mercury the closest planet to the Sun?,It formed that way billions of years ago when the Solar System was born – it just happened to be the nearest one.
How big is Mercury compared to Earth?,"Mercury is much smaller – if Earth were the size of a basketball, Mercury would be like a tennis ball."
Does Mercury have any moons?,"No, Mercury has zero moons."
What is the surface of Mercury like?,"It’s rocky, gray, and covered in thousands of craters from asteroid hits, just like our Moon."
Why does Mercury have so many craters?,"It has almost no air or atmosphere to burn up space rocks, so they crash right into it."
How hot does Mercury get during the day?,It can reach over 400°C (800°F) – hotter than an oven!
Why is Mercury so hot?,It’s very close to the Sun and the sunlight is super strong there.
How cold does Mercury get at night?,It can drop to -170°C (-280°F) – colder than a freezer!
Why does Mercury get so cold at night?,"It has almost no atmosphere to trap the heat, so all the warmth escapes into space."
How long is one day on Mercury?,One day (sunrise to sunrise) on Mercury lasts 176 Earth days – that’s a very long school day!
How long is one year on Mercury?,A year on Mercury is only 88 Earth days because it zooms around the Sun so fast.
Does Mercury have an atmosphere?,It has a very thin layer of gas called an exosphere – it’s almost like having no air at all.
Why can’t people breathe on Mercury?,"There’s almost no oxygen and the air is way too thin, hot, and full of radiation."
What color is Mercury?,"Mercury looks gray and rocky, a bit like the Moon."
Who was Mercury named after?,It was named after the speedy messenger of the Roman gods because it moves so fast across the sky.
Can we see Mercury from Earth without a telescope?,Yes! It’s sometimes visible just after sunset or before sunrise – it’s called the “evening star” or “morning star.”
What spacecraft have visited Mercury?,Two spacecraft: Mariner 10 in the 1970s and MESSENGER from 2004–2015.
What did MESSENGER discover?,"It found ice in deep craters near the poles that never see sunlight, even though Mercury is super hot!"
Is there ice on Mercury?,"Yes, hidden in shadowy craters at the north and south poles where the Sun never shines."
Why doesn’t the ice melt on Mercury?,"Those craters are always in shadow and super cold, and there’s no air to carry heat to them."
How fast does Mercury travel around the Sun?,It zooms at about 47 kilometers per second (29 miles per second) – the fastest planet!
Does Mercury have rings like Saturn?,"No, Mercury has no rings at all."
What is the biggest crater on Mercury?,It’s the Caloris Basin – so huge you could fit the whole state of Texas inside it!
Why is Mercury’s sky black even in daytime?,"It has almost no atmosphere to scatter sunlight, so the sky stays black and you can see stars during the day."
Can people ever live on Mercury?,"Probably not – it’s too hot, too cold, no air, and too much radiation from the Sun."
How many times could Mercury fit inside Earth?,About 18 Mercurys could fit inside Earth.
What is Mercury mostly made of?,It has a huge iron core (almost 75% of the planet) covered by a thin rocky layer.
Why does Mercury have such a big iron core?,"Scientists think a giant crash long ago knocked away most of the rocky outside, leaving the heavy iron."
Is Mercury shrinking?,"Yes! It’s slowly cooling inside and shrinking a tiny bit, making wrinkle-like cliffs."
What are those wrinkle cliffs called?,They’re called “scarps” or “lobate scarps.”
How long would it take to drive around Mercury in a car?,"If you drove 100 km/h without stopping, it would take about 60 Earth days to go all the way around."
Can you explain why Mercury has no seasons?,"Actually, Mercury has almost no tilt, so it doesn’t really have seasons like Earth."
Where is the hottest place on Mercury?,Right at the point facing the Sun at noon – it can get hotter than 430°C!
Where is the coldest place on Mercury?,In the bottoms of polar craters that never see sunlight.
Why does the Sun look bigger from Mercury?,"Because Mercury is closer to the Sun, the Sun appears almost three times bigger than from Earth."
What is Mercury’s gravity like compared to Earth?,It’s only about 38% of Earth’s gravity – you would weigh much less and could jump really high!
How many people have walked on Mercury?,Zero – no human has ever been there; only robots!
What is the brightest planet we see from Earth?,"Venus is usually brighter, but Mercury can look very bright when conditions are right."
Can you see Mercury during the day?,Very rarely and only with a telescope because the Sun is too bright.
Why does Mercury always show the same side to the Sun sometimes?,"Actually, it spins 3 times for every 2 orbits, so different parts get sunlight."
What is a transit of Mercury?,When Mercury passes directly between Earth and the Sun – it looks like a tiny black dot crossing the Sun.
How often do we study Mercury today?,Scientists use telescopes on Earth and data from the old MESSENGER mission.
Will we send another spacecraft to Mercury?,Yes! A mission called BepiColombo (from Europe and Japan) is on its way and will arrive in 2025–2026.
What is special about Mercury’s orbit?,It’s the most oval (elliptical) orbit of any planet except Pluto.
Why is it hard to send spacecraft to Mercury?,"The Sun’s gravity is so strong that spacecraft have to slow down a lot, which takes many fly-bys."
How many Earth days equal one Mercury day at the equator?,"Because of the slow spin, one full day-night cycle is 176 Earth days."
Is Mercury a rocky planet or a gas planet?,"Mercury is a rocky (terrestrial) planet, like Earth, Venus, and Mars."
What would happen if you dropped a feather and a hammer on Mercury?,They would hit the ground at the same time (just like on the Moon) because there’s almost no air.
What is Mercury?,Mercury is the smallest planet in our Solar System and the closest planet to the Sun.
How far is Mercury from the Sun?,Mercury is about 58 million kilometers (36 million miles) from the Sun on average – much closer than Earth!
Why is Mercury the closest planet to the Sun?,It formed that way billions of years ago when the Solar System was born – it just happened to be the nearest one.
How big is Mercury compared to Earth?,"Mercury is much smaller – if Earth were the size of a basketball, Mercury would be like a tennis ball."
Does Mercury have any moons?,"No, Mercury has zero moons."
What is the surface of Mercury like?,"It’s rocky, gray, and covered in thousands of craters from asteroid hits, just like our Moon."
Why does Mercury have so many craters?,"It has almost no air or atmosphere to burn up space rocks, so they crash right into it."
How hot does Mercury get during the day?,It can reach over 400°C (800°F) – hotter than an oven!
Why is Mercury so hot?,It’s very close to the Sun and the sunlight is super strong there.
How cold does Mercury get at night?,It can drop to -170°C (-280°F) – colder than a freezer!
Why does Mercury get so cold at night?,"It has almost no atmosphere to trap the heat, so all the warmth escapes into space."
How long is one day on Mercury?,One day (sunrise to sunrise) on Mercury lasts 176 Earth days – that’s a very long school day!
How long is one year on Mercury?,A year on Mercury is only 88 Earth days because it zooms around the Sun so fast.
Does Mercury have an atmosphere?,It has a very thin layer of gas called an exosphere – it’s almost like having no air at all.
Why can’t people breathe on Mercury?,"There’s almost no oxygen and the air is way too thin, hot, and full of radiation."
What color is Mercury?,"Mercury looks gray and rocky, a bit like the Moon."
Who was Mercury named after?,It was named after the speedy messenger of the Roman gods because it moves so fast across the sky.
Can we see Mercury from Earth without a telescope?,Yes! It’s sometimes visible just after sunset or before sunrise – it’s called the “evening star” or “morning star.”
What spacecraft have visited Mercury?,Two spacecraft: Mariner 10 in the 1970s and MESSENGER from 2004–2015.
What did MESSENGER discover?,"It found ice in deep craters near the poles that never see sunlight, even though Mercury is super hot!"
Is there ice on Mercury?,"Yes, hidden in shadowy craters at the north and south poles where the Sun never shines."
Why doesn’t the ice melt on Mercury?,"Those craters are always in shadow and super cold, and there’s no air to carry heat to them."
How fast does Mercury travel around the Sun?,It zooms at about 47 kilometers per second (29 miles per second) – the fastest planet!
Does Mercury have rings like Saturn?,"No, Mercury has no rings at all."
What is the biggest crater on Mercury?,It’s the Caloris Basin – so huge you could fit the whole state of Texas inside it!
Why is Mercury’s sky black even in daytime?,"It has almost no atmosphere to scatter sunlight, so the sky stays black and you can see stars during the day."
Can people ever live on Mercury?,"Probably not – it’s too hot, too cold, no air, and too much radiation from the Sun."
How many times could Mercury fit inside Earth?,About 18 Mercurys could fit inside Earth.
What is Mercury mostly made of?,It has a huge iron core (almost 75% of the planet) covered by a thin rocky layer.
Why does Mercury have such a big iron core?,"Scientists think a giant crash long ago knocked away most of the rocky outside, leaving the heavy iron."
Is Mercury shrinking?,"Yes! It’s slowly cooling inside and shrinking a tiny bit, making wrinkle-like cliffs."
What are those wrinkle cliffs called?,They’re called “scarps” or “lobate scarps.”
How long would it take to drive around Mercury in a car?,"If you drove 100 km/h without stopping, it would take about 60 Earth days to go all the way around."
Can you explain why Mercury has no seasons?,"Actually, Mercury has almost no tilt, so it doesn’t really have seasons like Earth."
Where is the hottest place on Mercury?,Right at the point facing the Sun at noon – it can get hotter than 430°C!
Where is the coldest place on Mercury?,In the bottoms of polar craters that never see sunlight.
Why does the Sun look bigger from Mercury?,"Because Mercury is closer to the Sun, the Sun appears almost three times bigger than from Earth."
What is Mercury’s gravity like compared to Earth?,It’s only about 38% of Earth’s gravity – you would weigh much less and could jump really high!
How many people have walked on Mercury?,Zero – no human has ever been there; only robots!
What is the brightest planet we see from Earth?,"Venus is usually brighter, but Mercury can look very bright when conditions are right."
Can you see Mercury during the day?,Very rarely and only with a telescope because the Sun is too bright.
Why does Mercury always show the same side to the Sun sometimes?,"Actually, it spins 3 times for every 2 orbits, so different parts get sunlight."
What is a transit of Mercury?,When Mercury passes directly between Earth and the Sun – it looks like a tiny black dot crossing the Sun.
How often do we study Mercury today?,Scientists use telescopes on Earth and data from the old MESSENGER mission.
Will we send another spacecraft to Mercury?,Yes! A mission called BepiColombo (from Europe and Japan) is on its way and will arrive in 2025–2026.
What is special about Mercury’s orbit?,It’s the most oval (elliptical) orbit of any planet except Pluto.
Why is it hard to send spacecraft to Mercury?,"The Sun’s gravity is so strong that spacecraft have to slow down a lot, which takes many fly-bys."
How many Earth days equal one Mercury day at the equator?,"Because of the slow spin, one full day-night cycle is 176 Earth days."
Is Mercury a rocky planet or a gas planet?,"Mercury is a rocky (terrestrial) planet, like Earth, Venus, and Mars."
What would happen if you dropped a feather and a hammer on Mercury?,They would hit the ground at the same time (just like on the Moon) because there’s almost no air.
What is Mercury?,Mercury is the smallest planet in our Solar System and the closest planet to the Sun.
How far is Mercury from the Sun?,Mercury is about 58 million kilometers (36 million miles) from the Sun on average – much closer than Earth!
Why is Mercury the closest planet to the Sun?,It formed that way billions of years ago when the Solar System was born – it just happened to be the nearest one.
How big is Mercury compared to Earth?,"Mercury is much smaller – if Earth were the size of a basketball, Mercury would be like a tennis ball."
Does Mercury have any moons?,"No, Mercury has zero moons."
What is the surface of Mercury like?,"It’s rocky, gray, and covered in thousands of craters from asteroid hits, just like our Moon."
Why does Mercury have so many craters?,"It has almost no air or atmosphere to burn up space rocks, so they crash right into it."
How hot does Mercury get during the day?,It can reach over 400°C – hotter than an oven!
Why is Mercury so hot?,It’s very close to the Sun and the sunlight is super strong there.
How cold does Mercury get at night?,It can drop to -170°C – colder than a freezer!
Why does Mercury get so cold at night?,"It has almost no atmosphere to trap the heat, so all the warmth escapes into space."
How long is one day on Mercury?,One day (sunrise to sunrise) on Mercury lasts 176 Earth days – that’s a very long school day!
How long is one year on Mercury?,A year on Mercury is only 88 Earth days because it zooms around the Sun so fast.
Does Mercury have an atmosphere?,It has a very thin layer of gas called an exosphere – it’s almost like having no air at all.
Why can’t people breathe on Mercury?,"There’s almost no oxygen and the air is way too thin, hot, and full of radiation."
What color is Mercury?,"Mercury looks gray and rocky, a bit like the Moon."
Who was Mercury named after?,It was named after the speedy messenger of the Roman gods because it moves so fast across the sky.
Can we see Mercury from Earth without a telescope?,Yes! It’s sometimes visible just after sunset or before sunrise – it’s called the “evening star” or “morning star.”
What spacecraft have visited Mercury?,Two spacecraft: Mariner 10 in the 1970s and MESSENGER from 2004–2015.
What did MESSENGER discover?,"It found ice in deep craters near the poles that never see sunlight, even though Mercury is super hot!"
Is there ice on Mercury?,"Yes, hidden in shadowy craters at the north and south poles where the Sun never shines."
Why doesn’t the ice melt on Mercury?,"Those craters are always in shadow and super cold, and there’s no air to carry heat to them."
How fast does Mercury travel around the Sun?,It zooms at about 47 kilometers per second (29 miles per second) – the fastest planet!
Does Mercury have rings like Saturn?,"No, Mercury has no rings at all."
What is the biggest crater on Mercury?,It’s the Caloris Basin – so huge you could fit the whole state of Texas inside it!
Why is Mercury’s sky black even in daytime?,"It has almost no atmosphere to scatter sunlight, so the sky stays black and you can see stars during the day."
Can people ever live on Mercury?,"Probably not – it’s too hot, too cold, no air, and too much radiation from the Sun."
How many times could Mercury fit inside Earth?,About 18 Mercurys could fit inside Earth.
What is Mercury mostly made of?,It has a huge iron core (almost 75% of the planet) covered by a thin rocky layer.
Why does Mercury have such a big iron core?,"Scientists think a giant crash long ago knocked away most of the rocky outside, leaving the heavy iron."
Is Mercury shrinking?,"Yes! It’s slowly cooling inside and shrinking a tiny bit, making wrinkle-like cliffs."
What are those wrinkle cliffs called?,They’re called “scarps” or “lobate scarps.”
How long would it take to drive around Mercury in a car?,"If you drove 100 km/h without stopping, it would take about 60 Earth days to go all the way around."
Can you explain why Mercury has no seasons?,"Actually, Mercury has almost no tilt, so it doesn’t really have seasons like Earth."
Where is the hottest place on Mercury?,Right at the point facing the Sun at noon – it can get hotter than 430°C!
Where is the coldest place on Mercury?,In the bottoms of polar craters that never see sunlight.
Why does the Sun look bigger from Mercury?,"Because Mercury is closer to the Sun, the Sun appears almost three times bigger than from Earth."
What is Mercury’s gravity like compared to Earth?,It’s only about 38% of Earth’s gravity – you would weigh much less and could jump really high!
How many people have walked on Mercury?,Zero – no human has ever been there; only robots!
